year,region,species_code,sex,sex_desc,iss,nss,nhl
1990,wcgoa,21740,1,male,49.6249609148427,487,31
1990,wcgoa,21740,2,female,69.39914116293316,542,32
1990,wcgoa,21740,4,total_post,72.49306397729136,1031,34
1990,wcgoa,21740,12,female_male,126.55706625595465,1029,34
1990,wcgoa,30050,0,total_pre,31.158836540431963,192,26
1990,wcgoa,30050,1,male,16.14838943266578,89,22
1990,wcgoa,30050,2,female,17.54259131351903,102,21
1990,wcgoa,30050,4,total_post,26.80273020962917,192,26
1990,wcgoa,30050,12,female_male,34.674825171769626,191,25
1990,wcgoa,30060,0,total_pre,60.8255222239786,797,34
1990,wcgoa,30060,1,male,54.5487831321273,397,31
1990,wcgoa,30060,2,female,40.36827776129391,398,31
1990,wcgoa,30060,4,total_post,58.69491929107782,797,34
1990,wcgoa,30060,12,female_male,98.27192952494104,795,34
1990,wcgoa,30420,0,total_pre,57.8412265524285,330,11
1990,wcgoa,30420,1,male,27.19374630027593,150,11
1990,wcgoa,30420,2,female,33.83180569425525,178,11
1990,wcgoa,30420,4,total_post,51.25939188521467,330,11
1990,wcgoa,30420,12,female_male,60.90882644059194,328,11
1993,egoa,10110,0,total_pre,87.51300003360342,383,25
1993,egoa,10110,1,male,28.67890049825277,140,17
1993,egoa,10110,2,female,55.442872948414696,243,23
1993,egoa,10110,4,total_post,78.61314244993765,383,25
1993,egoa,10110,12,female_male,83.66061916171616,383,25
1993,egoa,10130,0,total_pre,12.826162485778852,27,1
1993,egoa,10130,1,male,6.03870386490299,14,1
1993,egoa,10130,2,female,6.020677565465556,13,1
1993,egoa,10130,4,total_post,12.664409797945181,27,1
1993,egoa,10130,12,female_male,11.623297947118507,27,1
1993,egoa,10180,0,total_pre,6.579642283958501,34,4
1993,egoa,10180,1,male,1.1957655114407721,12,4
1993,egoa,10180,2,female,3.0240279719403778,22,4
1993,egoa,10180,4,total_post,6.580071871395974,34,4
1993,egoa,10180,12,female_male,4.86736178875723,34,4
1993,egoa,10200,0,total_pre,1.155729404163893,1,1
1993,egoa,10200,2,female,1.0543864956126843,1,1
1993,egoa,10200,4,total_post,1.0543864956126843,1,1
1993,egoa,10200,12,female_male,1.0543864956126843,1,1
1993,egoa,21720,0,total_pre,4.7571375217683975,18,1
1993,egoa,21720,1,male,1.1094659585522164,8,1
1993,egoa,21720,2,female,3.0645373254482915,10,1
1993,egoa,21720,4,total_post,5.119193641602651,18,1
1993,egoa,21720,12,female_male,4.798187152150144,18,1
1993,egoa,21740,0,total_pre,65.60874197210032,904,21
1993,egoa,21740,1,male,42.83249067551418,417,21
1993,egoa,21740,2,female,42.99498174936408,464,21
1993,egoa,21740,4,total_post,63.5803599582764,904,21
1993,egoa,21740,12,female_male,94.94078854499145,881,21
1993,egoa,30050,0,total_pre,61.82614769629562,486,37
1993,egoa,30050,1,male,44.57871411138039,246,35
1993,egoa,30050,2,female,46.57949726843409,233,33
1993,egoa,30050,4,total_post,62.927227025403496,486,37
1993,egoa,30050,12,female_male,91.03985634452687,479,36
1993,egoa,30060,0,total_pre,83.90349922952022,914,21
1993,egoa,30060,1,male,66.7099110108986,420,21
1993,egoa,30060,2,female,56.766909407301675,491,21
1993,egoa,30060,4,total_post,78.39839482545952,914,21
1993,egoa,30060,12,female_male,123.41801323062113,911,21
1993,goa,10110,0,total_pre,313.5487278806958,1023,72
1993,goa,10110,1,male,156.49924782196192,389,45
1993,goa,10110,2,female,200.27065029405966,634,66
1993,goa,10110,4,total_post,136.58083536648456,1023,72
1993,goa,10110,12,female_male,332.48663586364995,1023,72
1993,goa,10130,0,total_pre,135.50160271954954,303,35
1993,goa,10130,1,male,43.01595026556179,132,26
1993,goa,10130,2,female,66.15369843666151,170,29
1993,goa,10130,4,total_post,51.90379942987975,303,35
1993,goa,10130,12,female_male,107.2220047278637,302,35
1993,goa,10180,0,total_pre,91.59800083959777,252,35
1993,goa,10180,1,male,40.67414353989288,105,23
1993,goa,10180,2,female,51.4979390383836,147,31
1993,goa,10180,4,total_post,46.67730489947474,252,35
1993,goa,10180,12,female_male,90.65388396925891,252,35
1993,goa,10200,0,total_pre,56.20478597961608,332,29
1993,goa,10200,1,male,26.67319326515788,139,20
1993,goa,10200,2,female,35.73682822051502,193,26
1993,goa,10200,4,total_post,54.749562931727354,332,29
1993,goa,10200,12,female_male,65.28595093676644,332,29
1993,goa,21720,0,total_pre,259.40714620489445,803,65
1993,goa,21720,1,male,126.25606823760934,365,61
1993,goa,21720,2,female,162.38670293821573,438,63
1993,goa,21720,4,total_post,44.955059711025925,803,65
1993,goa,21720,12,female_male,290.51152186194645,803,65
1993,goa,21740,0,total_pre,226.14511762902256,1898,64
1993,goa,21740,1,male,160.604887566085,868,62
1993,goa,21740,2,female,173.02936719206792,1007,58
1993,goa,21740,4,total_post,100.15935622122792,1898,64
1993,goa,21740,12,female_male,332.36373976911506,1875,64
1993,goa,30050,0,total_pre,150.04950583684013,775,67
1993,goa,30050,1,male,75.08608463610953,382,62
1993,goa,30050,2,female,91.15866982314556,385,56
1993,goa,30050,4,total_post,67.41654057796218,775,67
1993,goa,30050,12,female_male,164.40797140918966,767,66
1993,goa,30060,0,total_pre,236.4242002020569,1378,48
1993,goa,30060,1,male,137.57116989940835,655,47
1993,goa,30060,2,female,152.50786010533196,714,44
1993,goa,30060,4,total_post,104.64288828539394,1378,48
1993,goa,30060,12,female_male,291.4186679911947,1369,48
1993,goa,30420,0,total_pre,38.124778838237674,242,17
1993,goa,30420,1,male,19.656026941572165,115,16
1993,goa,30420,2,female,17.77919379786335,127,15
1993,goa,30420,4,total_post,34.38973937663847,242,17
1993,goa,30420,12,female_male,37.22361134993765,242,17
1993,wcgoa,10110,0,total_pre,114.67103740621991,640,47
1993,wcgoa,10110,1,male,57.2889425447893,249,28
1993,wcgoa,10110,2,female,77.53261044542343,391,43
1993,wcgoa,10110,4,total_post,106.16874913758892,640,47
1993,wcgoa,10110,12,female_male,128.44683285729374,640,47
1993,wcgoa,10130,0,total_pre,71.29253560227804,276,34
