year,region,species_code,sex,sex_desc,iss,nss,nhls
1990,goa,30060,12,female_male,331.1964874024547,12220,151
1990,goa,30150,0,total_pre,107.33721004369927,843,26
1990,goa,30150,1,male,69.7599744489521,393,25
1990,goa,30150,2,female,71.05475144686595,449,26
1990,goa,30150,4,total_post,107.33723322740288,843,26
1990,goa,30150,12,female_male,115.48472886558892,842,26
1990,goa,30420,0,total_pre,93.59919725277211,3018,46
1990,goa,30420,1,male,69.17333792450613,1682,45
1990,goa,30420,2,female,63.91489786108521,1334,46
1990,goa,30420,4,total_post,93.59919711018827,3018,46
1990,goa,30420,12,female_male,136.69089001716821,3016,46
1990,wcgoa,10110,0,total_pre,3089.1256958744652,46790,396
1990,wcgoa,10110,1,male,1216.1391955876975,13330,391
1990,wcgoa,10110,2,female,2415.265461632438,33296,396
1990,wcgoa,10110,4,total_post,3089.125685517525,46790,396
1990,wcgoa,10110,12,female_male,3371.8066608154004,46626,396
1990,wcgoa,10130,0,total_pre,1481.076559472789,21847,253
1990,wcgoa,10130,1,male,820.6210895995499,10030,243
1990,wcgoa,10130,2,female,968.7009013046724,11724,252
1990,wcgoa,10130,4,total_post,1481.0764335795386,21847,253
1990,wcgoa,10130,12,female_male,1717.0349637705094,21754,252
1990,wcgoa,10180,0,total_pre,383.36590098761116,4524,135
1990,wcgoa,10180,1,male,156.31414775017691,1908,128
1990,wcgoa,10180,2,female,321.6054090290327,2616,134
1990,wcgoa,10180,4,total_post,383.3658926714683,4524,135
1990,wcgoa,10180,12,female_male,390.7252444353178,4524,135
1990,wcgoa,10200,0,total_pre,1056.6379065642777,10990,191
1990,wcgoa,10200,1,male,399.5086575654202,4814,181
1990,wcgoa,10200,2,female,885.2236778152636,6176,191
1990,wcgoa,10200,4,total_post,1056.6378502544355,10990,191
1990,wcgoa,10200,12,female_male,891.6952922944754,10990,191
1990,wcgoa,20510,0,total_pre,405.6280412166181,3613,102
1990,wcgoa,20510,1,male,415.1858928848121,2041,100
1990,wcgoa,20510,2,female,159.98448514912351,1506,100
1990,wcgoa,20510,4,total_post,405.62807986329864,3613,102
1990,wcgoa,20510,12,female_male,403.2635873382137,3547,100
1990,wcgoa,21720,0,total_pre,531.8278554032572,10938,255
1990,wcgoa,21720,1,male,376.65019131734545,5317,253
1990,wcgoa,21720,2,female,434.6515494491823,5510,254
1990,wcgoa,21720,4,total_post,531.8279293980125,10938,255
1990,wcgoa,21720,12,female_male,809.3109512166983,10827,255
1990,wcgoa,21740,0,total_pre,363.5462813378831,34110,248
1990,wcgoa,21740,1,male,344.68803074133086,12011,228
1990,wcgoa,21740,2,female,538.9387541156933,16788,228
1990,wcgoa,21740,4,total_post,363.5462824111445,34110,248
1990,wcgoa,21740,12,female_male,871.8756537654544,28799,229
1990,wcgoa,30050,0,total_pre,286.9012320176886,2201,73
1990,wcgoa,30050,1,male,209.5299319337773,1103,71
1990,wcgoa,30050,2,female,220.6224564146039,1096,73
1990,wcgoa,30050,4,total_post,286.9011631287815,2201,73
1990,wcgoa,30050,12,female_male,430.2031824239887,2199,73
1990,wcgoa,30060,0,total_pre,129.98590186854142,6195,94
1990,wcgoa,30060,1,male,123.52916769297101,3408,89
1990,wcgoa,30060,2,female,99.22552920765733,2669,89
1990,wcgoa,30060,4,total_post,129.985896331037,6195,94
1990,wcgoa,30060,12,female_male,223.226653887637,6077,91
1990,wcgoa,30150,0,total_pre,74.02831807958815,670,20
1990,wcgoa,30150,1,male,51.91056658179724,339,19
1990,wcgoa,30150,2,female,46.91944009948068,330,20
1990,wcgoa,30150,4,total_post,74.02833568379147,670,20
1990,wcgoa,30150,12,female_male,78.67339990077404,669,20
1990,wcgoa,30420,0,total_pre,93.04678748119898,2982,44
1990,wcgoa,30420,1,male,68.8675086578824,1668,43
1990,wcgoa,30420,2,female,63.37043657666962,1312,44
1990,wcgoa,30420,4,total_post,93.04678822503656,2982,44
1990,wcgoa,30420,12,female_male,135.87373040152178,2980,44
1993,egoa,10110,0,total_pre,1590.753178078575,11602,130
1993,egoa,10110,1,male,679.0195370850375,4333,127
1993,egoa,10110,2,female,1300.8709115769882,7140,129
1993,egoa,10110,4,total_post,1590.7532439700908,11602,130
1993,egoa,10110,12,female_male,1671.0048265461066,11473,129
1993,egoa,10130,0,total_pre,435.9719635697069,3468,43
1993,egoa,10130,1,male,274.64580519235375,1964,41
1993,egoa,10130,2,female,237.7975172187402,1446,43
1993,egoa,10130,4,total_post,435.9720098536091,3468,43
1993,egoa,10130,12,female_male,505.4696039232574,3410,43
1993,egoa,10180,0,total_pre,828.2578202013344,4867,73
1993,egoa,10180,1,male,486.6258847657275,2463,68
1993,egoa,10180,2,female,429.3191000596146,2095,67
1993,egoa,10180,4,total_post,828.2578006153504,4867,73
1993,egoa,10180,12,female_male,761.4073749594722,4558,68
1993,egoa,10200,0,total_pre,925.8903972009269,5139,57
1993,egoa,10200,1,male,416.4170372751155,2337,49
1993,egoa,10200,2,female,430.0014780108182,1820,50
1993,egoa,10200,4,total_post,925.8905419930419,5139,57
1993,egoa,10200,12,female_male,761.0092029557184,4157,50
1993,egoa,20510,0,total_pre,168.72004374141855,1159,43
1993,egoa,20510,1,male,68.09747834557578,313,28
1993,egoa,20510,2,female,73.31943753838608,309,31
1993,egoa,20510,4,total_post,168.71999975919357,1159,43
1993,egoa,20510,12,female_male,137.54534029582402,622,31
1993,egoa,21720,0,total_pre,107.71395306297649,437,25
1993,egoa,21720,1,male,52.333743939231745,197,22
1993,egoa,21720,2,female,63.67535352971164,240,22
1993,egoa,21720,4,total_post,107.71398724079181,437,25
1993,egoa,21720,12,female_male,111.93396439968863,437,25
1993,egoa,21740,0,total_pre,238.95506448526623,5184,81
1993,egoa,21740,1,male,129.01180553629453,2280,79
1993,egoa,21740,2,female,167.21613313208508,2399,78
1993,egoa,21740,4,total_post,238.95506509908512,5184,81
1993,egoa,21740,12,female_male,289.54172190070864,4679,80
1993,egoa,30050,0,total_pre,305.08507853915864,1876,69
1993,egoa,30050,1,male,204.2720705183468,832,62
1993,egoa,30050,2,female,266.0835434168701,1009,59
1993,egoa,30050,4,total_post,305.08511302272456,1876,69
1993,egoa,30050,12,female_male,440.06136000428285,1841,65
1993,egoa,30060,0,total_pre,147.81534912547343,7344,58
1993,egoa,30060,1,male,105.91143559496382,3476,58
1993,egoa,30060,2,female,102.24018210596626,3435,57
1993,egoa,30060,4,total_post,147.8153445942296,7344,58
1993,egoa,30060,12,female_male,206.88872641415406,6911,58
1993,egoa,30150,0,total_pre,85.87020392287398,397,15
1993,egoa,30150,1,male,32.63180077499762,164,14
1993,egoa,30150,2,female,50.430057629645674,233,15
1993,egoa,30150,4,total_post,85.87014148770956,397,15
1993,egoa,30150,12,female_male,85.54003390094861,397,15
1993,goa,10110,0,total_pre,7001.066481525878,66060,638
1993,goa,10110,1,male,2353.019393178874,19311,609
1993,goa,10110,2,female,5498.305442915555,46558,629
1993,goa,10110,4,total_post,7001.066503636115,66060,638
1993,goa,10110,12,female_male,7512.499357114067,65869,635
1993,goa,10130,0,total_pre,2034.2527450151936,25995,363
1993,goa,10130,1,male,864.9046247822984,12248,337
1993,goa,10130,2,female,1111.5528713474832,13509,361
1993,goa,10130,4,total_post,2034.252732420441,25995,363
1993,goa,10130,12,female_male,1777.814883043905,25757,363
1993,goa,10180,0,total_pre,2034.3786408778853,10491,321
1993,goa,10180,1,male,1087.131475719617,5316,283
1993,goa,10180,2,female,1101.4098945202309,4866,306
1993,goa,10180,4,total_post,2034.3787863294472,10491,321
1993,goa,10180,12,female_male,1924.8958506600513,10182,316
1993,goa,10200,0,total_pre,2271.4816629195516,19100,374
1993,goa,10200,1,male,928.0115401022176,8166,319
1993,goa,10200,2,female,1839.0065074739375,9943,359
1993,goa,10200,4,total_post,2271.481528519268,19100,374
1993,goa,10200,12,female_male,2226.28742362576,18109,367
1993,goa,20510,0,total_pre,310.0731623670806,7705,262
1993,goa,20510,1,male,230.98297078830527,4295,234
1993,goa,20510,2,female,218.17514568654843,2873,236
1993,goa,20510,4,total_post,310.07313947352844,7705,262
1993,goa,20510,12,female_male,415.62960916446616,7168,250
1993,goa,21720,0,total_pre,914.385864470521,17447,453
1993,goa,21720,1,male,594.4796750245126,8414,433
1993,goa,21720,2,female,642.2961039144054,8570,435
1993,goa,21720,4,total_post,914.3858518265916,17447,453
1993,goa,21720,12,female_male,1239.0474754066995,16984,452
1993,goa,21740,0,total_pre,846.3907449141346,35210,457
1993,goa,21740,1,male,476.9425398430066,14675,427
1993,goa,21740,2,female,670.6217931897198,18848,430
1993,goa,21740,4,total_post,846.39073425264,35210,457
1993,goa,21740,12,female_male,1095.4839547117574,33523,449
1993,goa,30050,0,total_pre,484.14127168515205,5639,201
1993,goa,30050,1,male,343.8429787449126,2699,178
1993,goa,30050,2,female,396.06065126879423,2864,181
1993,goa,30050,4,total_post,484.1412570951661,5639,201
1993,goa,30050,12,female_male,728.5865343203443,5563,196
1993,goa,30060,0,total_pre,306.1070418639541,17357,219
1993,goa,30060,1,male,272.2162112208131,8815,208
1993,goa,30060,2,female,222.45882003559763,7976,208
1993,goa,30060,4,total_post,306.1070417293835,17357,219
1993,goa,30060,12,female_male,498.796819260691,16791,218
1993,goa,30150,0,total_pre,94.04908582302467,2299,95
1993,goa,30150,1,male,78.67241505551203,1120,78
1993,goa,30150,2,female,81.68823673298434,1178,86
1993,goa,30150,4,total_post,94.04909871655896,2299,95
1993,goa,30150,12,female_male,164.18608450629225,2298,94
1993,goa,30420,0,total_pre,179.4820891478119,4384,106
1993,goa,30420,1,male,158.78248394770185,2252,99
1993,goa,30420,2,female,97.30901678981536,2132,91
1993,goa,30420,4,total_post,179.48210062476488,4384,106
1993,goa,30420,12,female_male,200.46794970694782,4384,106
1993,wcgoa,10110,0,total_pre,5670.844239612987,54458,508
1993,wcgoa,10110,1,male,1749.148608668995,14978,482
1993,wcgoa,10110,2,female,4532.381283657374,39418,500
1993,wcgoa,10110,4,total_post,5670.844262607566,54458,508
1993,wcgoa,10110,12,female_male,6105.595708795129,54396,506
1993,wcgoa,10130,0,total_pre,1788.5310124672471,22527,320
1993,wcgoa,10130,1,male,745.8391431329311,10284,296
1993,wcgoa,10130,2,female,990.7715107271683,12063,318
1993,wcgoa,10130,4,total_post,1788.5310108170527,22527,320
1993,wcgoa,10130,12,female_male,1552.5577716841046,22347,320
1993,wcgoa,10180,0,total_pre,1301.994062543091,5624,248
1993,wcgoa,10180,1,male,598.9469554069223,2853,215
1993,wcgoa,10180,2,female,780.6238689094162,2771,239
1993,wcgoa,10180,4,total_post,1301.99413979128,5624,248
1993,wcgoa,10180,12,female_male,1261.4143742542383,5624,248
1993,wcgoa,10200,0,total_pre,1807.9925593870255,13961,317
1993,wcgoa,10200,1,male,698.6312786582773,5829,270
1993,wcgoa,10200,2,female,1806.9967562421316,8123,309
1993,wcgoa,10200,4,total_post,1807.9924382969962,13961,317
1993,wcgoa,10200,12,female_male,1789.6239689677732,13952,317
1993,wcgoa,20510,0,total_pre,248.77332835894788,6546,219
