year,species_code,sex,sex_desc,length,iss,nss,nhl
1990,10110,0,total,18,1.6186733400738407,1,1
1990,10110,0,total,19,1.7945978017926683,1,1
1990,10110,0,total,20,3.2081765213002935,4,1
1990,10110,0,total,20,3.2081765213002935,4,3
1990,10110,0,total,21,2.184539571954332,4,1
1990,10110,0,total,21,2.184539571954332,4,3
1990,10110,0,total,22,4.039215880617616,8,4
1990,10110,0,total,22,4.039215880617616,8,4
1990,10110,0,total,23,4.184697800601533,9,4
1990,10110,0,total,23,4.184697800601533,9,5
1990,10110,0,total,24,3.4896748422286477,7,4
1990,10110,0,total,24,3.4896748422286477,7,3
1990,10110,0,total,25,3.1930961619092733,8,5
1990,10110,0,total,25,3.1930961619092733,8,3
1990,10110,0,total,26,3.634661475241241,9,4
1990,10110,0,total,26,3.634661475241241,9,4
1990,10110,0,total,27,3.8123172615884666,10,5
1990,10110,0,total,27,3.8123172615884666,10,5
1990,10110,0,total,28,3.473330472075331,10,5
1990,10110,0,total,28,3.473330472075331,10,4
1990,10110,0,total,29,3.798985162960252,7,3
1990,10110,0,total,29,3.798985162960252,7,4
1990,10110,0,total,30,4.42483017699995,8,5
1990,10110,0,total,30,4.42483017699995,8,3
1990,10110,0,total,31,3.1365922533357535,10,5
1990,10110,0,total,31,3.1365922533357535,10,5
1990,10110,0,total,32,4.085263748577656,10,5
1990,10110,0,total,32,4.085263748577656,10,5
1990,10110,0,total,33,4.222493376234239,7,3
1990,10110,0,total,33,4.222493376234239,7,4
1990,10110,0,total,34,4.828841921355913,11,5
1990,10110,0,total,34,4.828841921355913,11,5
1990,10110,0,total,35,3.5856057389692846,9,5
1990,10110,0,total,35,3.5856057389692846,9,4
1990,10110,0,total,36,4.070396285200914,10,5
1990,10110,0,total,36,4.070396285200914,10,5
1990,10110,0,total,37,3.5594915285357365,9,3
1990,10110,0,total,37,3.5594915285357365,9,4
1990,10110,0,total,38,4.415673926856989,9,3
1990,10110,0,total,38,4.415673926856989,9,6
1990,10110,0,total,39,4.981757128577622,10,5
1990,10110,0,total,39,4.981757128577622,10,4
1990,10110,0,total,40,6.179482354588809,11,6
1990,10110,0,total,40,6.179482354588809,11,4
1990,10110,0,total,41,4.643630441986379,9,4
1990,10110,0,total,41,4.643630441986379,9,5
1990,10110,0,total,42,5.002823956759965,10,4
1990,10110,0,total,42,5.002823956759965,10,6
1990,10110,0,total,43,4.787700812683309,9,3
1990,10110,0,total,43,4.787700812683309,9,6
1990,10110,0,total,44,3.9620356900816454,8,2
1990,10110,0,total,44,3.9620356900816454,8,6
1990,10110,0,total,45,5.003791516442583,7,2
1990,10110,0,total,45,5.003791516442583,7,4
1990,10110,0,total,46,5.212368565053339,6,1
1990,10110,0,total,46,5.212368565053339,6,4
1990,10110,0,total,47,4.0732285094737595,7,2
1990,10110,0,total,47,4.0732285094737595,7,5
1990,10110,0,total,48,6.2344148013411536,6,1
1990,10110,0,total,48,6.2344148013411536,6,5
1990,10110,0,total,49,3.45457000536446,5,5
1990,10110,0,total,50,3.795931964446934,5,1
1990,10110,0,total,50,3.795931964446934,5,4
1990,10110,0,total,51,6.642066420664206,5,1
1990,10110,0,total,51,6.642066420664206,5,4
1990,10110,0,total,52,3.4390400803637804,5,5
1990,10110,0,total,53,6.960651635889633,6,6
1990,10110,0,total,54,4.3602410070285185,4,4
1990,10110,0,total,55,5.413533834586467,4,4
1990,10110,0,total,56,5.510204081632653,4,4
1990,10110,0,total,58,4.615384615384617,4,4
1990,10110,0,total,59,6.303939962476548,4,3
1990,10110,1,male,18,1.3368178711536154,1,1
1990,10110,1,male,20,1.566287525638635,1,1
1990,10110,1,male,21,1.554192229038855,1,1
1990,10110,1,male,22,2.920571566845792,4,4
1990,10110,1,male,23,2.640229921080976,4,4
1990,10110,1,male,24,3.3336387171953565,4,4
1990,10110,1,male,25,3.7623903868957287,5,5
1990,10110,1,male,26,3.015799759360789,4,4
1990,10110,1,male,27,2.825265629225875,5,5
1990,10110,1,male,28,3.201332924637106,5,5
1990,10110,1,male,29,3.1904632669538264,3,3
1990,10110,1,male,30,3.1004843943339266,5,5
1990,10110,1,male,31,2.114047388322054,5,5
1990,10110,1,male,32,2.2483873962383036,5,5
1990,10110,1,male,33,4.102559468002635,3,3
1990,10110,1,male,34,2.9402185548620756,5,5
1990,10110,1,male,35,3.2777863736247257,5,5
1990,10110,1,male,36,3.628563609373813,5,5
1990,10110,1,male,37,1.9616334627917429,4,3
1990,10110,1,male,38,2.346882647633289,3,3
1990,10110,1,male,39,3.609674382934847,5,5
1990,10110,1,male,40,3.551836605378725,6,6
1990,10110,1,male,41,2.2384739559125935,4,4
1990,10110,1,male,42,2.8080639999827497,4,4
1990,10110,1,male,43,3.0949913644214164,3,3
1990,10110,1,male,44,3.1638418079096047,2,2
1990,10110,1,male,45,3.9473684210526323,2,2
1990,10110,1,male,47,1.7190082644628102,2,2
1990,10110,1,male,48,1,1,1
1990,10110,2,female,19,1.9870365218407096,1,1
1990,10110,2,female,20,3.171647953923458,3,3
1990,10110,2,female,21,1.9839727009690071,3,3
1990,10110,2,female,22,3.412315125921371,4,4
1990,10110,2,female,23,3.219086275767942,5,5
1990,10110,2,female,24,2.394362161842409,3,3
1990,10110,2,female,25,2.892297816286947,3,3
1990,10110,2,female,26,3.130420691839895,5,4
1990,10110,2,female,27,3.526294111596905,5,5
1990,10110,2,female,28,3.3569831009123416,5,4
1990,10110,2,female,29,3.14637542018413,4,4
1990,10110,2,female,30,3.4449861544638343,3,3
1990,10110,2,female,31,2.9128219142898675,5,5
1990,10110,2,female,32,4.0602405279500235,5,5
1990,10110,2,female,33,3.32678654852979,4,4
1990,10110,2,female,34,3.9601124857670094,6,5
1990,10110,2,female,35,2.2695011771996527,4,4
1990,10110,2,female,36,4.2075121055912135,5,5
1990,10110,2,female,37,3.33539407979155,5,4
1990,10110,2,female,38,3.9928025887438143,6,6
1990,10110,2,female,39,4.164782352772783,5,4
1990,10110,2,female,40,3.1229460044694415,5,4
1990,10110,2,female,41,2.7941375307475522,5,5
1990,10110,2,female,42,3.6965242980110116,6,6
1990,10110,2,female,43,3.0634132102909195,6,6
1990,10110,2,female,44,2.842296725992492,6,6
1990,10110,2,female,45,3.7228572268406004,5,4
1990,10110,2,female,46,4.452923024603086,5,4
1990,10110,2,female,47,3.0126884383460375,5,5
1990,10110,2,female,48,5.944794711985816,5,5
1990,10110,2,female,49,4.062897625010471,5,5
1990,10110,2,female,50,4.1747955235292755,4,4
1990,10110,2,female,51,4.137931034482759,4,4
1990,10110,2,female,52,5.082570719043791,5,5
1990,10110,2,female,53,3.940123427148905,6,6
1990,10110,2,female,54,3.2285315552798886,4,4
1990,10110,2,female,55,3.7058823529411766,4,4
1990,10110,2,female,56,6.153846153846155,4,4
1990,10110,2,female,58,3.1692677070828337,4,4
1990,10110,2,female,59,2.4000000000000004,4,3
1990,10130,0,total,11,2.2780070591619737,1,1
1990,10130,0,total,12,2.653172188269148,3,1
1990,10130,0,total,12,2.653172188269148,3,1
1990,10130,0,total,12,2.653172188269148,3,1
1990,10130,0,total,13,1.3422205989773557,1,1
1990,10130,0,total,14,3.0785176574987494,4,1
1990,10130,0,total,14,3.0785176574987494,4,2
1990,10130,0,total,14,3.0785176574987494,4,1
1990,10130,0,total,16,2.2953803193647517,3,1
1990,10130,0,total,16,2.2953803193647517,3,2
1990,10130,0,total,17,3.5390464740001475,3,1
1990,10130,0,total,17,3.5390464740001475,3,2
1990,10130,0,total,18,3.3970664794041925,6,2
1990,10130,0,total,18,3.3970664794041925,6,3
1990,10130,0,total,19,3.4513026360104515,4,3
1990,10130,0,total,20,3.6323200547469483,9,5
1990,10130,0,total,20,3.6323200547469483,9,4
1990,10130,0,total,21,3.1218253313043633,6,2
1990,10130,0,total,21,3.1218253313043633,6,3
1990,10130,0,total,22,4.082072737955625,8,3
1990,10130,0,total,22,4.082072737955625,8,3
1990,10130,0,total,23,3.742245948300552,9,5
1990,10130,0,total,23,3.742245948300552,9,3
1990,10130,0,total,24,3.0970484583587443,9,5
1990,10130,0,total,24,3.0970484583587443,9,3
1990,10130,0,total,25,6.317535198783542,11,4
1990,10130,0,total,25,6.317535198783542,11,4
1990,10130,0,total,26,5.487398002536373,8,4
1990,10130,0,total,26,5.487398002536373,8,3
1990,10130,0,total,27,3.6883661014580063,5,2
1990,10130,0,total,27,3.6883661014580063,5,3
1990,10130,0,total,28,5.807039412240097,8,4
1990,10130,0,total,28,5.807039412240097,8,3
1990,10130,0,total,29,4.663934935391221,9,3
1990,10130,0,total,29,4.663934935391221,9,4
1990,10130,0,total,30,5.375458695068469,8,3
1990,10130,0,total,30,5.375458695068469,8,3
1990,10130,0,total,31,12.368155872826335,13,4
1990,10130,0,total,31,12.368155872826335,13,4
1990,10130,0,total,32,9.590588587968998,10,5
1990,10130,0,total,32,9.590588587968998,10,4
