year,species_code,sex,sex_desc,length,iss,nss,nhl
1990,10110,1,male,42,3.190033079021562,4,4
1990,10110,1,male,43,2.633013741033236,3,3
1990,10110,1,male,44,1.9470027785388628,2,2
1990,10110,1,male,45,1.895608462308944,2,2
1990,10110,1,male,46,1.0431085461585625,1,1
1990,10110,1,male,47,1.9655949583167638,2,2
1990,10110,1,male,48,1.0316250131214597,1,1
1990,10110,1,male,50,1.0114906827827799,1,1
1990,10110,1,male,51,0.9966591012842636,1,1
1990,10110,2,female,19,1.7196289587916653,1,1
1990,10110,2,female,20,3.651051772188448,3,3
1990,10110,2,female,21,2.29664299847207,3,3
1990,10110,2,female,22,3.2600041880898183,4,4
1990,10110,2,female,23,3.03615488045124,5,5
1990,10110,2,female,24,2.7448397854313007,3,3
1990,10110,2,female,25,2.9277271682083637,3,3
1990,10110,2,female,26,2.90111101246206,5,4
1990,10110,2,female,27,3.4016776709006007,5,5
1990,10110,2,female,28,3.259630874312896,5,4
1990,10110,2,female,29,3.2297008428568748,4,4
1990,10110,2,female,30,3.7391068413543165,3,3
1990,10110,2,female,31,3.105310791907955,5,5
1990,10110,2,female,32,3.2127545430079953,5,5
1990,10110,2,female,33,2.7753748838378534,4,4
1990,10110,2,female,34,3.627480796469226,6,5
1990,10110,2,female,35,2.8344792072780547,4,4
1990,10110,2,female,36,3.2320884030217596,5,5
1990,10110,2,female,37,2.414390024067579,5,4
1990,10110,2,female,38,4.3237494197647806,6,6
1990,10110,2,female,39,2.919276508719301,5,4
1990,10110,2,female,40,1.912813725539592,5,4
1990,10110,2,female,41,3.3602022289941953,5,5
1990,10110,2,female,42,4.233453893015109,6,6
1990,10110,2,female,43,4.515081656487948,6,6
1990,10110,2,female,44,3.5626897798391988,6,6
1990,10110,2,female,45,3.1493120474925003,5,4
1990,10110,2,female,46,3.7020180594746597,5,4
1990,10110,2,female,47,3.422561107405682,5,5
1990,10110,2,female,48,2.522139688568803,5,5
1990,10110,2,female,49,2.3208973569193856,5,5
1990,10110,2,female,50,2.5553106719020913,4,4
1990,10110,2,female,51,3.212322282757502,4,4
1990,10110,2,female,52,2.9361896022995717,5,5
1990,10110,2,female,53,3.5476463800682843,6,6
1990,10110,2,female,54,2.8486736396611345,4,4
1990,10110,2,female,55,2.524290000259834,4,4
1990,10110,2,female,56,2.6532298768426323,4,4
1990,10110,2,female,57,2.573467454605429,4,4
1990,10110,2,female,58,2.502425296876192,4,4
1990,10110,2,female,59,2.273776085135564,4,3
1990,10110,2,female,60,2.291742880852161,4,3
1990,10110,2,female,61,1.8467293919423895,2,2
1990,10110,2,female,62,2.701692900194031,3,3
1990,10110,2,female,63,1.7190246228282802,2,2
1990,10110,2,female,64,1.060667615102341,1,1
1990,10110,2,female,65,1.0496454811313394,1,1
