year,region,species_code,sex,sex_desc,iss,nss,nhl
1990,cgoa,10110,0,total_pre,62.33550662178587,264,12
1990,cgoa,10110,1,male,18.203314816107067,87,11
1990,cgoa,10110,2,female,55.09644787370761,177,12
1990,cgoa,10110,4,total_post,66.58018951053214,264,12
1990,cgoa,10110,12,female_male,77.7743543775524,264,12
1990,cgoa,10130,0,total_pre,27.608126737620466,154,18
1990,cgoa,10130,1,male,12.375861050308256,63,14
1990,cgoa,10130,2,female,12.097225178206493,89,14
1990,cgoa,10130,4,total_post,23.253800676808442,154,18
1990,cgoa,10130,12,female_male,25.718876386749862,152,18
1990,cgoa,10180,0,total_pre,35.3953176034631,186,16
1990,cgoa,10180,1,male,18.270313361516973,75,15
1990,cgoa,10180,2,female,22.846483232580695,111,16
1990,cgoa,10180,4,total_post,35.25132600442311,186,16
1990,cgoa,10180,12,female_male,41.74723857676483,186,16
1990,cgoa,10200,0,total_pre,31.6324545989784,186,13
1990,cgoa,10200,1,male,16.513078745453345,89,11
1990,cgoa,10200,2,female,16.071350758776322,97,12
1990,cgoa,10200,4,total_post,30.18062530633423,186,13
1990,cgoa,10200,12,female_male,35.15077559612523,186,13
1990,cgoa,21720,0,total_pre,49.872427739045605,246,20
1990,cgoa,21720,1,male,24.343574031074745,107,18
1990,cgoa,21720,2,female,32.935719054498975,139,19
1990,cgoa,21720,4,total_post,42.973602673241274,246,20
1990,cgoa,21720,12,female_male,60.61796580211669,246,20
1990,cgoa,21740,0,total_pre,57.06491201228925,914,32
1990,cgoa,21740,1,male,34.92382673243275,432,29
1990,cgoa,21740,2,female,55.48058431749904,480,30
1990,cgoa,21740,4,total_post,54.23798116964054,914,32
1990,cgoa,21740,12,female_male,95.93395892201022,912,32
1990,cgoa,30050,0,total_pre,28.868527444029258,187,25
1990,cgoa,30050,1,male,15.508076292391712,89,22
1990,cgoa,30050,2,female,15.432977808705616,97,20
1990,cgoa,30050,4,total_post,24.52021567693662,187,25
1990,cgoa,30050,12,female_male,32.02152544213304,186,24
1990,cgoa,30060,0,total_pre,104.62831269684656,709,31
1990,cgoa,30060,1,male,80.54305327265632,353,28
1990,cgoa,30060,2,female,67.31781211136061,354,28
1990,cgoa,30060,4,total_post,103.64603196994642,709,31
1990,cgoa,30060,12,female_male,153.16881825873173,707,31
1990,cgoa,30420,0,total_pre,27.744697085227717,175,5
1990,cgoa,30420,1,male,10.737330986728885,78,5
1990,cgoa,30420,2,female,14.00510952106632,97,5
1990,cgoa,30420,4,total_post,24.223997587138044,175,5
1990,cgoa,30420,12,female_male,27.03797983822143,175,5
1990,egoa,10130,0,total_pre,1.31511806508068,9,2
1990,egoa,10130,1,male,0.6373175538542781,3,1
1990,egoa,10130,2,female,0.8751401471022403,6,2
1990,egoa,10130,4,total_post,1.3458531844122321,9,2
1990,egoa,10130,12,female_male,1.4051299870155824,9,2
1990,egoa,10200,0,total_pre,2.7982229159842653,11,1
1990,egoa,10200,2,female,2.896090615198519,11,1
1990,egoa,10200,4,total_post,2.896090615198519,11,1
1990,egoa,10200,12,female_male,2.896090615198519,11,1
1990,egoa,21720,0,total_pre,4.538118821425867,27,5
1990,egoa,21720,1,male,2.2071308029733556,9,4
1990,egoa,21720,2,female,3.6641171572298883,18,5
1990,egoa,21720,4,total_post,3.8275623632399984,27,5
1990,egoa,21720,12,female_male,6.20298195719931,27,5
1990,egoa,21740,0,total_pre,7.924724212604246,34,4
1990,egoa,21740,1,male,4.66040782833348,16,4
1990,egoa,21740,2,female,3.922275213596073,18,3
1990,egoa,21740,4,total_post,8.342226045951163,34,4
1990,egoa,21740,12,female_male,7.747206282620459,34,4
1990,egoa,30050,0,total_pre,2.0429240267770394,2,1
1990,egoa,30050,1,male,1.8664373110740096,2,1
1990,egoa,30050,4,total_post,1.8664373110740096,2,1
1990,egoa,30050,12,female_male,1.8664373110740096,2,1
1990,egoa,30060,0,total_pre,91.71448169809288,957,20
1990,egoa,30060,1,male,74.31313965049469,471,20
1990,egoa,30060,2,female,61.35866497635188,486,20
1990,egoa,30060,4,total_post,89.61704774745854,957,20
1990,egoa,30060,12,female_male,131.3846709423442,957,20
1990,egoa,30420,0,total_pre,0.9152517705095982,1,1
1990,goa,10110,0,total_pre,161.21593562060377,325,14
1990,goa,10110,1,male,55.01324601371908,109,13
1990,goa,10110,2,female,130.47759457183548,216,14
1990,goa,10110,4,total_post,78.54017462128904,325,14
1990,goa,10110,12,female_male,182.78107018407817,325,14
1990,goa,10130,0,total_pre,96.81239016182084,247,22
1990,goa,10130,1,male,40.999959828086055,107,17
1990,goa,10130,2,female,46.028329707164204,138,18
1990,goa,10130,4,total_post,37.833325079614205,247,22
1990,goa,10130,12,female_male,86.88353682805783,245,22
1990,goa,10180,0,total_pre,54.90055213201139,201,18
1990,goa,10180,1,male,20.144620800072982,78,16
1990,goa,10180,2,female,33.34975068499594,123,18
1990,goa,10180,4,total_post,32.77297284141793,201,18
1990,goa,10180,12,female_male,53.25323768535467,201,18
1990,goa,10200,0,total_pre,111.04421353974972,270,27
1990,goa,10200,1,male,46.07749610295658,114,20
1990,goa,10200,2,female,59.726271399955074,156,26
1990,goa,10200,4,total_post,30.21529317217224,270,27
1990,goa,10200,12,female_male,98.492064184728,270,27
1990,goa,21720,0,total_pre,263.2834773696051,493,29
1990,goa,21720,1,male,102.45266011654553,220,26
1990,goa,21720,2,female,174.95206780683716,273,28
1990,goa,21720,4,total_post,55.41543151604032,493,29
1990,goa,21720,12,female_male,268.7290915262637,493,29
1990,goa,21740,0,total_pre,196.42610818699728,1065,38
1990,goa,21740,1,male,120.74464432468858,503,35
1990,goa,21740,2,female,146.22865643433133,560,35
1990,goa,21740,4,total_post,57.621719391013336,1065,38
1990,goa,21740,12,female_male,271.91546259722617,1063,38
1990,goa,30050,0,total_pre,33.61128663140487,194,27
1990,goa,30050,1,male,16.693196794026925,91,23
1990,goa,30050,2,female,16.90644899701774,102,21
1990,goa,30050,4,total_post,27.229374249311945,194,27
1990,goa,30050,12,female_male,34.52239322341945,193,26
1990,goa,30060,0,total_pre,309.6515447626288,1754,54
1990,goa,30060,1,male,284.6834119194905,868,51
1990,goa,30060,2,female,214.68572894030828,884,51
1990,goa,30060,4,total_post,93.8677898808166,1754,54
1990,goa,30060,12,female_male,484.2278781952066,1752,54
1990,goa,30420,0,total_pre,83.15094936759525,331,12
1990,goa,30420,1,male,35.084790077012165,150,11
1990,goa,30420,2,female,46.18097985848757,178,11
1990,goa,30420,4,total_post,33.50788143649722,331,12
1990,goa,30420,12,female_male,78.87443350495899,328,11
1990,wgoa,10110,0,total_pre,6.658309165286593,61,2
1990,wgoa,10110,1,male,4.114872600381995,22,2
1990,wgoa,10110,2,female,6.621576846818664,39,2
1990,wgoa,10110,4,total_post,7.655919792226601,61,2
1990,wgoa,10110,12,female_male,10.754739488457561,61,2
1990,wgoa,10130,0,total_pre,22.161138193893205,84,2
1990,wgoa,10130,1,male,9.23862513223811,41,2
1990,wgoa,10130,2,female,10.956487489991536,43,2
1990,wgoa,10130,4,total_post,20.188953717060592,84,2
1990,wgoa,10130,12,female_male,22.30454604254701,84,2
1990,wgoa,10180,0,total_pre,2.836107510393627,15,2
1990,wgoa,10180,1,male,1.3329735720215508,3,1
1990,wgoa,10180,2,female,1.8467468797142943,12,2
1990,wgoa,10180,4,total_post,2.1265667193626956,15,2
1990,wgoa,10180,12,female_male,2.1517158105646734,15,2
1990,wgoa,10200,0,total_pre,18.918004356249348,73,13
1990,wgoa,10200,1,male,4.8202804479330466,25,9
1990,wgoa,10200,2,female,9.717077409384437,48,13
1990,wgoa,10200,4,total_post,14.346572040239069,73,13
1990,wgoa,10200,12,female_male,15.461106753099163,73,13
1990,wgoa,21720,0,total_pre,21.997544628842395,220,4
1990,wgoa,21720,1,male,14.730272843459245,104,4
1990,wgoa,21720,2,female,16.05607358046645,116,4
1990,wgoa,21720,4,total_post,21.144414830474947,220,4
1990,wgoa,21720,12,female_male,33.88960197163941,220,4
1990,wgoa,21740,0,total_pre,29.03826857049438,117,2
1990,wgoa,21740,1,male,16.53271828117571,55,2
1990,wgoa,21740,2,female,18.08009450798315,62,2
1990,wgoa,21740,4,total_post,28.84888346305599,117,2
1990,wgoa,21740,12,female_male,36.56740050547163,117,2
1990,wgoa,30050,0,total_pre,1.0303562018581516,5,1
1990,wgoa,30050,2,female,1.0897595636151158,5,1
1990,wgoa,30050,4,total_post,1.0897595636151158,5,1
1990,wgoa,30050,12,female_male,1.0897595636151158,5,1
1990,wgoa,30060,0,total_pre,7.198334297990199,88,3
1990,wgoa,30060,1,male,4.2339720609743,44,3
