year,species_code,sex,sex_desc,length,iss,nss,nhl
1990,10110,0,total,18,1.926105097145675,1,1
1990,10110,0,total,20,3.017570196804878,5,1
1990,10110,0,total,20,3.017570196804878,5,4
1990,10110,0,total,22,4.592422572954348,12,4
1990,10110,0,total,22,4.592422572954348,12,6
1990,10110,0,total,24,5.980060011010519,16,6
1990,10110,0,total,24,5.980060011010519,16,7
1990,10110,0,total,26,4.481139118032261,17,5
1990,10110,0,total,26,4.481139118032261,17,5
1990,10110,0,total,28,5.7472699052364655,20,6
1990,10110,0,total,28,5.7472699052364655,20,6
1990,10110,0,total,30,4.9238022179880385,15,5
1990,10110,0,total,30,4.9238022179880385,15,5
1990,10110,0,total,32,6.225367864311191,20,7
1990,10110,0,total,32,6.225367864311191,20,6
1990,10110,0,total,34,7.101566387801626,18,5
1990,10110,0,total,34,7.101566387801626,18,5
1990,10110,0,total,36,7.418842982681358,19,5
1990,10110,0,total,36,7.418842982681358,19,7
1990,10110,0,total,38,4.970826512303218,18,4
1990,10110,0,total,38,4.970826512303218,18,6
1990,10110,0,total,40,6.087670994968266,21,7
1990,10110,0,total,40,6.087670994968266,21,7
1990,10110,0,total,42,7.836095063814466,19,6
1990,10110,0,total,42,7.836095063814466,19,8
1990,10110,0,total,44,7.638116803458172,17,5
1990,10110,0,total,44,7.638116803458172,17,8
1990,10110,0,total,46,6.1740443516447225,13,3
1990,10110,0,total,46,6.1740443516447225,13,4
1990,10110,0,total,48,5.684814999418654,13,3
1990,10110,0,total,48,5.684814999418654,13,7
1990,10110,0,total,50,4.216715259779861,10,1
1990,10110,0,total,50,4.216715259779861,10,7
1990,10110,0,total,52,4.920272547124916,10,1
1990,10110,0,total,52,4.920272547124916,10,8
1990,10110,0,total,54,5.384055616540033,10,6
1990,10110,0,total,56,3.972262246039856,8,7
1990,10110,0,total,58,3.6608672557528075,8,7
1990,10110,0,total,60,3.785911446905787,8,4
1990,10110,0,total,62,3.350851809865755,5,4
1990,10110,0,total,64,2.0823009634825373,3,2
1990,10110,0,total,66,1.7228147106487932,2,2
1990,10110,0,total,68,2.016009799507474,3,3
1990,10110,0,total,70,2.7897876382410156,5,4
1990,10110,0,total,72,2.426539330835771,3,1
1990,10110,0,total,74,1.5694868650874603,3,3
1990,10110,0,total,76,1.0744302609489904,2,2
1990,10110,0,total,78,1.0702679123474181,1,1
