year,species_code,sex,sex_desc,length,iss,nss,nhl
1990,10110,0,total,20,3.459142120281379,6,2
1990,10110,0,total,20,3.459142120281379,6,4
1990,10110,0,total,30,24.48004158494247,80,9
1990,10110,0,total,30,24.48004158494247,80,10
1990,10110,0,total,40,33.9234986629703,96,9
1990,10110,0,total,40,33.9234986629703,96,9
1990,10110,0,total,50,27.6129758272204,72,9
1990,10110,0,total,50,27.6129758272204,72,11
1990,10110,0,total,60,21.133925572461013,44,1
1990,10110,0,total,60,21.133925572461013,44,12
1990,10110,0,total,70,7.518377653396896,18,7
1990,10110,0,total,80,2.713161880301467,9,4
1990,10110,1,male,20,1.7531414151817901,2,2
1990,10110,1,male,30,15.58098504066423,40,9
1990,10110,1,male,40,20.317555356730434,46,9
1990,10110,1,male,50,9.151817344252628,20,9
1990,10110,1,male,60,0.9837565584067718,1,1
1990,10110,2,female,20,2.9064409651760257,4,4
1990,10110,2,female,30,17.172924933926595,40,10
1990,10110,2,female,40,19.801841991527922,50,9
1990,10110,2,female,50,19.4413001259694,52,11
1990,10110,2,female,60,20.238130383583254,43,12
1990,10110,2,female,70,7.510141147779383,18,7
1990,10110,2,female,80,2.761590299662031,9,4
1990,10130,0,total,20,13.576043455292226,34,8
1990,10130,0,total,20,13.576043455292226,34,7
1990,10130,0,total,20,13.576043455292226,34,1
1990,10130,0,total,30,29.228777155716315,81,8
1990,10130,0,total,30,29.228777155716315,81,7
1990,10130,0,total,40,39.04335044080606,97,11
1990,10130,0,total,40,39.04335044080606,97,8
1990,10130,0,total,50,16.507728207729393,35,2
1990,10130,0,total,50,16.507728207729393,35,9
1990,10130,1,male,20,6.206612455754886,16,8
1990,10130,1,male,30,18.035705434657523,42,8
1990,10130,1,male,40,23.297857344225452,47,11
1990,10130,1,male,50,1.6239808721230922,2,2
1990,10130,2,female,20,6.403973339476451,16,7
1990,10130,2,female,30,16.49317994956798,39,7
1990,10130,2,female,40,22.485799270952675,50,8
1990,10130,2,female,50,15.908541046160867,33,9
1990,10180,0,total,30,2.854438605906921,8,3
1990,10180,0,total,30,2.854438605906921,8,3
1990,10180,0,total,40,34.153150908925234,84,12
1990,10180,0,total,40,34.153150908925234,84,11
1990,10180,0,total,50,25.73188417308332,83,12
1990,10180,0,total,50,25.73188417308332,83,17
1990,10180,0,total,60,13.194396908277136,25,1
1990,10180,0,total,60,13.194396908277136,25,11
1990,10180,0,total,70,1.0633121143393565,1,1
1990,10180,1,male,30,1.9570602479657206,4,3
1990,10180,1,male,40,22.397854622176414,47,12
1990,10180,1,male,50,11.37347059979952,26,12
1990,10180,1,male,60,1.0854110563457564,1,1
1990,10180,2,female,30,3.0393193173155346,4,3
1990,10180,2,female,40,15.889961191096514,37,11
1990,10180,2,female,50,26.290419213985782,57,17
1990,10180,2,female,60,12.97672350298466,24,11
1990,10180,2,female,70,1.0945335642222231,1,1
1990,10200,0,total,20,1.9709735484364133,7,2
1990,10200,0,total,20,1.9709735484364133,7,1
1990,10200,0,total,30,13.023722899617367,60,13
1990,10200,0,total,30,13.023722899617367,60,10
1990,10200,0,total,40,22.166597893642844,118,15
1990,10200,0,total,40,22.166597893642844,118,18
1990,10200,0,total,50,17.984768210602834,75,5
1990,10200,0,total,50,17.984768210602834,75,14
1990,10200,0,total,60,4.626326966837265,10,7
1990,10200,1,male,20,1.7865000446558752,6,2
1990,10200,1,male,30,9.13444552110248,34,13
1990,10200,1,male,40,17.070449532546192,62,15
1990,10200,1,male,50,5.143835548795605,12,5
1990,10200,2,female,20,1.4109105699799518,1,1
1990,10200,2,female,30,8.071757411176495,26,10
1990,10200,2,female,40,14.210021436622533,56,18
1990,10200,2,female,50,17.594895566673806,63,14
1990,10200,2,female,60,4.53532200368211,10,7
1990,21720,0,total,20,5.642351455990127,8,1
1990,21720,0,total,20,5.642351455990127,8,2
1990,21720,0,total,30,4.560340479705534,20,5
1990,21720,0,total,30,4.560340479705534,20,3
1990,21720,0,total,40,5.8225624054175675,56,7
1990,21720,0,total,40,5.8225624054175675,56,5
1990,21720,0,total,50,8.524010799940864,97,12
1990,21720,0,total,50,8.524010799940864,97,15
1990,21720,0,total,60,21.474779218397497,116,17
1990,21720,0,total,60,21.474779218397497,116,17
1990,21720,0,total,70,18.53122625369806,96,15
1990,21720,0,total,70,18.53122625369806,96,18
1990,21720,0,total,80,8.193377153034392,46,7
1990,21720,0,total,80,8.193377153034392,46,13
1990,21720,0,total,90,3.4378484182230773,35,3
1990,21720,0,total,90,3.4378484182230773,35,12
1990,21720,0,total,100,2.6163340569099565,14,3
1990,21720,0,total,110,3.5616129201868687,5,2
1990,21720,1,male,20,2.299849701796877,2,1
1990,21720,1,male,30,4.179364715926957,14,5
1990,21720,1,male,40,3.9419711560850965,23,7
1990,21720,1,male,50,6.416968251950944,51,12
1990,21720,1,male,60,19.162254504002313,60,17
1990,21720,1,male,70,17.15731583125756,42,15
1990,21720,1,male,80,6.3970792578786115,16,7
1990,21720,1,male,90,2.635015644287482,12,3
1990,21720,2,female,20,5.053008442963165,6,2
1990,21720,2,female,30,3.272974240531064,6,3
1990,21720,2,female,40,6.284354271739149,33,5
1990,21720,2,female,50,8.491485024283147,46,15
1990,21720,2,female,60,13.405846490012413,56,17
1990,21720,2,female,70,11.22954843530618,54,18
1990,21720,2,female,80,5.690681290292428,30,13
1990,21720,2,female,90,3.4395027933582973,23,12
1990,21720,2,female,100,2.5590861620033256,14,3
1990,21720,2,female,110,2.9770673630784206,5,2
1990,21740,0,total,10,1.158742769666024,1,1
1990,21740,0,total,20,23.790789327939432,46,6
1990,21740,0,total,20,23.790789327939432,46,9
1990,21740,0,total,20,23.790789327939432,46,1
1990,21740,0,total,30,22.50593796006413,148,18
1990,21740,0,total,30,22.50593796006413,148,15
1990,21740,0,total,40,30.51918920274148,141,22
1990,21740,0,total,40,30.51918920274148,141,19
1990,21740,0,total,50,61.422407896723364,361,23
1990,21740,0,total,50,61.422407896723364,361,23
1990,21740,0,total,60,51.32911699942134,298,19
1990,21740,0,total,60,51.32911699942134,298,19
1990,21740,0,total,70,15.860892441819644,66,9
1990,21740,0,total,70,15.860892441819644,66,21
1990,21740,0,total,80,2.9747850556741042,4,4
1990,21740,1,male,20,18.483035550921873,26,6
1990,21740,1,male,30,16.662656662671644,73,18
1990,21740,1,male,40,21.779696696934423,76,22
1990,21740,1,male,50,42.02004887151894,182,23
1990,21740,1,male,60,31.57451579941223,132,19
1990,21740,1,male,70,6.135149368637714,14,9
1990,21740,2,female,20,5.901808136088865,19,9
1990,21740,2,female,30,17.43773218142813,75,15
1990,21740,2,female,40,17.40837001066348,65,19
1990,21740,2,female,50,50.41454690319716,179,23
1990,21740,2,female,60,36.73393380887166,166,19
1990,21740,2,female,70,16.00802710616742,52,21
1990,21740,2,female,80,2.923172702740499,4,4
1990,30050,0,total,20,9.58163376639984,20,6
1990,30050,0,total,20,9.58163376639984,20,8
1990,30050,0,total,20,9.58163376639984,20,1
1990,30050,0,total,30,18.53027686168707,45,11
1990,30050,0,total,30,18.53027686168707,45,11
1990,30050,0,total,40,23.047232896561816,51,9
1990,30050,0,total,40,23.047232896561816,51,13
1990,30050,0,total,50,30.847982466721504,66,8
1990,30050,0,total,50,30.847982466721504,66,8
1990,30050,0,total,60,3.776943084438021,10,3
1990,30050,0,total,60,3.776943084438021,10,3
1990,30050,0,total,70,1.2476400081058387,1,1
1990,30050,0,total,80,1.000645690744113,1,1
1990,30050,1,male,20,4.902807859922345,8,6
1990,30050,1,male,30,11.661441448034475,22,11
1990,30050,1,male,40,10.649038126888554,22,9
1990,30050,1,male,50,17.670441735998587,34,8
1990,30050,1,male,60,1.6701294496320265,3,3
1990,30050,1,male,70,1.1264478316495403,1,1
1990,30050,1,male,80,1.0144546102412142,1,1
1990,30050,2,female,20,5.057142335318386,11,8
1990,30050,2,female,30,11.76873276436507,23,11
1990,30050,2,female,40,16.80000036238612,29,13
1990,30050,2,female,50,14.968686435633876,32,8
1990,30050,2,female,60,3.0929739358962505,7,3
1990,30060,0,total,20,17.499163317825094,107,14
1990,30060,0,total,20,17.499163317825094,107,11
1990,30060,0,total,20,17.499163317825094,107,2
1990,30060,0,total,30,70.2171719646355,592,41
1990,30060,0,total,30,70.2171719646355,592,40
1990,30060,0,total,40,118.56537921422989,884,44
1990,30060,0,total,40,118.56537921422989,884,42
1990,30060,0,total,50,50.99142025614482,171,17
1990,30060,0,total,50,50.99142025614482,171,30
1990,30060,1,male,20,12.380061415514275,58,14
1990,30060,1,male,30,66.39800719861843,296,41
1990,30060,1,male,40,92.52913318743099,470,44
1990,30060,1,male,50,21.28476521283455,44,17
1990,30060,2,female,20,13.32203101478284,47,11
1990,30060,2,female,30,51.09064457293891,296,40
1990,30060,2,female,40,106.58907510746734,414,42
1990,30060,2,female,50,45.47100885955995,127,30
1990,30420,0,total,20,5.277283138919379,12,4
1990,30420,0,total,20,5.277283138919379,12,1
1990,30420,0,total,30,26.63897734712505,97,9
1990,30420,0,total,30,26.63897734712505,97,9
1990,30420,0,total,40,70.12817093061781,197,11
1990,30420,0,total,40,70.12817093061781,197,10
1990,30420,0,total,40,70.12817093061781,197,1
1990,30420,0,total,50,10.542214144244216,25,1
1990,30420,0,total,50,10.542214144244216,25,5
1990,30420,1,male,20,4.848453998267294,10,4
1990,30420,1,male,30,15.06302466133791,46,9
1990,30420,1,male,40,39.21370843647884,90,11
1990,30420,1,male,50,3.2278890715203836,4,1
1990,30420,2,female,30,15.08910826399757,51,9
1990,30420,2,female,40,43.78516517805217,106,10
1990,30420,2,female,50,9.668160393734556,21,5
1993,10110,0,total,20,17.885527197962865,89,18
1993,10110,0,total,20,17.885527197962865,89,17
1993,10110,0,total,30,48.86038532587218,197,22
1993,10110,0,total,30,48.86038532587218,197,25
1993,10110,0,total,40,73.75928595161025,235,25
1993,10110,0,total,40,73.75928595161025,235,26
1993,10110,0,total,50,68.27353923703342,228,34
1993,10110,0,total,50,68.27353923703342,228,27
1993,10110,0,total,60,21.996690138789862,123,6
1993,10110,0,total,60,21.996690138789862,123,31
1993,10110,0,total,70,32.050595819209875,90,1
1993,10110,0,total,70,32.050595819209875,90,33
1993,10110,0,total,80,16.418949426579395,59,31
1993,10110,0,total,90,1.5382034617512883,2,2
1993,10110,1,male,20,13.983945874084188,49,18
1993,10110,1,male,30,32.557382783561884,103,22
1993,10110,1,male,40,48.12536435420569,117,25
1993,10110,1,male,50,42.414614155284504,112,34
1993,10110,1,male,60,2.95241908174983,7,6
1993,10110,1,male,70,1.0107354390376457,1,1
1993,10110,2,female,20,8.828826797680332,40,17
1993,10110,2,female,30,30.11171489799503,94,25
1993,10110,2,female,40,42.7944406461984,118,26
1993,10110,2,female,50,41.589145685611285,116,27
1993,10110,2,female,60,22.72192572550916,116,31
1993,10110,2,female,70,31.377409880394648,89,33
1993,10110,2,female,80,16.362474302095745,59,31
1993,10110,2,female,90,1.542454418653741,2,2
1993,10130,0,total,10,4.217368677516202,9,3
1993,10130,0,total,10,4.217368677516202,9,1
1993,10130,0,total,10,4.217368677516202,9,1
1993,10130,0,total,20,18.99183999542615,56,11
1993,10130,0,total,20,18.99183999542615,56,15
1993,10130,0,total,30,35.20197205866142,95,11
1993,10130,0,total,30,35.20197205866142,95,14
1993,10130,0,total,40,47.696861847671485,94,19
1993,10130,0,total,40,47.696861847671485,94,16
1993,10130,0,total,50,27.391210160233044,48,7
1993,10130,0,total,50,27.391210160233044,48,16
1993,10130,0,total,60,1.1117879626826457,1,1
1993,10130,1,male,10,3.7842537333900927,7,3
1993,10130,1,male,20,8.230472502516044,27,11
1993,10130,1,male,30,21.101733244461254,50,11
1993,10130,1,male,40,21.758859212056848,40,19
1993,10130,1,male,50,3.843369732930067,8,7
